symbol,close,date
GS,164.5,2014-02-20
GS,164.5,2014-02-21
GS,166.53999299999998,2014-02-24
GS,163.479996,2014-02-25
GS,162.800003,2014-02-26
GS,165.380005,2014-02-27
GS,166.449997,2014-02-28
GS,164.740005,2014-03-03
GS,168.729996,2014-03-04
GS,171.899994,2014-03-05
GS,172.600006,2014-03-06
GS,174.259995,2014-03-07
GS,173.509995,2014-03-10
GS,169.889999,2014-03-11
GS,169.720001,2014-03-12
GS,166.699997,2014-03-13
GS,165.350006,2014-03-14
GS,166.83999599999999,2014-03-17
GS,168.08999599999999,2014-03-18
GS,168.179993,2014-03-19
GS,169.220001,2014-03-20
GS,166.949997,2014-03-21
GS,165.720001,2014-03-24
GS,163.25,2014-03-25
GS,161.729996,2014-03-26
GS,162.28999299999998,2014-03-27
GS,162.300003,2014-03-28
GS,163.850006,2014-03-31
GS,165.919998,2014-04-01
GS,167.270004,2014-04-02
GS,166.08999599999999,2014-04-03
GS,163.240005,2014-04-04
GS,158.559998,2014-04-07
GS,156.559998,2014-04-08
GS,158.16000400000001,2014-04-09
GS,155.979996,2014-04-10
GS,152.720001,2014-04-11
GS,154.740005,2014-04-14
GS,154.919998,2014-04-15
GS,157.220001,2014-04-16
GS,157.440002,2014-04-17
GS,157.800003,2014-04-21
GS,160.46000700000002,2014-04-22
GS,160.449997,2014-04-23
GS,160.850006,2014-04-24
GS,158.240005,2014-04-25
GS,156.53999299999998,2014-04-28
GS,158.240005,2014-04-29
GS,159.820007,2014-04-30
GS,160.369995,2014-05-01
GS,158.880005,2014-05-02
GS,156.350006,2014-05-05
GS,154.53999299999998,2014-05-06
GS,155.520004,2014-05-07
GS,157.399994,2014-05-08
GS,157.199997,2014-05-09
GS,159.550003,2014-05-12
GS,160.279999,2014-05-13
GS,159.449997,2014-05-14
GS,156.639999,2014-05-15
GS,156.429993,2014-05-16
GS,157.669998,2014-05-19
GS,156.350006,2014-05-20
GS,159.350006,2014-05-21
GS,159.850006,2014-05-22
GS,160.16000400000001,2014-05-23
GS,161.770004,2014-05-27
GS,161.190002,2014-05-28
GS,160.740005,2014-05-29
GS,159.809998,2014-05-30
GS,160.029999,2014-06-02
GS,161.800003,2014-06-03
GS,162.389999,2014-06-04
GS,162.580002,2014-06-05
GS,166.190002,2014-06-06
GS,166.0,2014-06-09
GS,166.360001,2014-06-10
GS,165.429993,2014-06-11
GS,165.96000700000002,2014-06-12
GS,165.889999,2014-06-13
GS,165.850006,2014-06-16
GS,168.220001,2014-06-17
GS,169.860001,2014-06-18
GS,169.729996,2014-06-19
GS,169.83999599999999,2014-06-20
GS,170.240005,2014-06-23
GS,168.229996,2014-06-24
GS,168.380005,2014-06-25
GS,168.009995,2014-06-26
GS,166.779999,2014-06-27
